"","gender","survival"
"1","Female","Survives"
"2","Female","Survives"
"3","Female","Survives"
"4","Female","Survives"
"5","Female","Survives"
"6","Female","Survives"
"7","Female","Survives"
"8","Female","Survives"
"9","Female","Survives"
"10","Female","Survives"
"11","Female","Survives"
"12","Female","Dies"
"13","Female","Dies"
"14","Female","Dies"
"15","Female","Dies"
"16","Female","Dies"
"17","Female","Dies"
"18","Female","Dies"
"19","Female","Dies"
"20","Female","Dies"
"21","Female","Dies"
"22","Female","Dies"
"23","Female","Dies"
"24","Female","Dies"
"25","Female","Dies"
"26","Female","Dies"
"27","Female","Dies"
"28","Female","Dies"
"29","Female","Dies"
"30","Female","Dies"
"31","Female","Dies"
"32","Female","Dies"
"33","Female","Dies"
"34","Female","Dies"
"35","Female","Dies"
"36","Female","Dies"
"37","Female","Dies"
"38","Female","Dies"
"39","Female","Dies"
"40","Female","Dies"
"41","Female","Dies"
"42","Female","Dies"
"43","Female","Dies"
"44","Female","Dies"
"45","Female","Dies"
"46","Female","Dies"
"47","Female","Dies"
"48","Female","Dies"
"49","Female","Dies"
"50","Female","Dies"
"51","Female","Dies"
"52","Female","Dies"
"53","Female","Dies"
"54","Female","Dies"
"55","Female","Dies"
"56","Female","Dies"
"57","Female","Dies"
"58","Female","Dies"
"59","Female","Dies"
"60","Female","Dies"
"61","Female","Dies"
"62","Female","Dies"
"63","Female","Dies"
"64","Female","Dies"
"65","Female","Dies"
"66","Female","Dies"
"67","Female","Dies"
"68","Female","Dies"
"69","Female","Dies"
"70","Female","Dies"
"71","Female","Dies"
"72","Female","Dies"
"73","Female","Dies"
"74","Female","Dies"
"75","Female","Dies"
"76","Female","Dies"
"77","Female","Dies"
"78","Female","Dies"
"79","Female","Dies"
"80","Female","Dies"
"81","Female","Dies"
"82","Female","Dies"
"83","Female","Dies"
"84","Female","Survives"
"85","Female","Survives"
"86","Female","Survives"
"87","Female","Survives"
"88","Female","Survives"
"89","Female","Survives"
"90","Female","Survives"
"91","Female","Survives"
"92","Female","Survives"
"93","Female","Survives"
"94","Female","Survives"
"95","Female","Survives"
"96","Female","Survives"
"97","Female","Survives"
"98","Female","Survives"
"99","Female","Survives"
"100","Female","Survives"
"101","Female","Survives"
"102","Female","Survives"
"103","Female","Survives"
"104","Female","Survives"
"105","Female","Survives"
"106","Female","Survives"
"107","Female","Survives"
"108","Female","Survives"
"109","Female","Survives"
"110","Female","Survives"
"111","Female","Survives"
"112","Female","Survives"
"113","Female","Survives"
"114","Female","Survives"
"115","Female","Survives"
"116","Female","Survives"
"117","Female","Survives"
"118","Female","Survives"
"119","Female","Survives"
"120","Female","Survives"
"121","Female","Survives"
"122","Female","Survives"
"123","Female","Dies"
"124","Female","Dies"
"125","Female","Dies"
"126","Female","Dies"
"127","Female","Dies"
"128","Female","Dies"
"129","Female","Dies"
"130","Female","Dies"
"131","Female","Dies"
"132","Female","Dies"
"133","Female","Dies"
"134","Female","Dies"
"135","Female","Dies"
"136","Female","Dies"
"137","Female","Dies"
"138","Female","Dies"
"139","Female","Dies"
"140","Female","Dies"
"141","Female","Dies"
"142","Female","Dies"
"143","Female","Dies"
"144","Female","Dies"
"145","Female","Dies"
"146","Female","Dies"
"147","Female","Dies"
"148","Female","Dies"
"149","Female","Dies"
"150","Female","Dies"
"151","Female","Dies"
"152","Female","Dies"
"153","Female","Dies"
"154","Female","Dies"
"155","Female","Dies"
"156","Female","Dies"
"157","Female","Dies"
"158","Female","Dies"
"159","Female","Dies"
"160","Female","Dies"
"161","Female","Dies"
"162","Female","Dies"
"163","Female","Dies"
"164","Female","Dies"
"165","Female","Dies"
"166","Female","Dies"
"167","Female","Dies"
"168","Female","Dies"
"169","Female","Dies"
"170","Female","Dies"
"171","Female","Dies"
"172","Female","Dies"
"173","Female","Dies"
"174","Female","Dies"
"175","Female","Dies"
"176","Female","Dies"
"177","Female","Dies"
"178","Female","Dies"
"179","Female","Dies"
"180","Female","Dies"
"181","Female","Dies"
"182","Female","Dies"
"183","Female","Dies"
"184","Female","Dies"
"185","Female","Dies"
"186","Female","Dies"
"187","Female","Dies"
"188","Female","Dies"
"189","Female","Dies"
"190","Female","Dies"
"191","Female","Dies"
"192","Female","Dies"
"193","Female","Dies"
"194","Female","Dies"
"195","Female","Dies"
"196","Female","Dies"
"197","Female","Dies"
"198","Female","Dies"
"199","Female","Dies"
"200","Female","Dies"
"201","Female","Dies"
"202","Female","Dies"
"203","Female","Dies"
"204","Female","Dies"
"205","Female","Dies"
"206","Female","Dies"
"207","Female","Dies"
"208","Female","Dies"
"209","Female","Dies"
"210","Female","Dies"
"211","Female","Dies"
"212","Female","Dies"
"213","Female","Dies"
"214","Female","Dies"
"215","Female","Dies"
"216","Female","Dies"
"217","Female","Dies"
"218","Female","Dies"
"219","Female","Dies"
"220","Female","Dies"
"221","Female","Dies"
"222","Female","Dies"
"223","Male","Survives"
"224","Male","Survives"
"225","Male","Survives"
"226","Male","Survives"
"227","Male","Survives"
"228","Male","Survives"
"229","Male","Survives"
"230","Male","Dies"
"231","Male","Dies"
"232","Male","Dies"
"233","Male","Dies"
"234","Male","Dies"
"235","Male","Dies"
"236","Male","Dies"
"237","Male","Dies"
"238","Male","Dies"
"239","Male","Dies"
"240","Male","Dies"
"241","Male","Dies"
"242","Male","Dies"
"243","Male","Dies"
"244","Male","Dies"
"245","Male","Dies"
"246","Male","Dies"
"247","Male","Dies"
"248","Male","Dies"
"249","Male","Dies"
"250","Male","Dies"
"251","Male","Dies"
"252","Male","Dies"
"253","Male","Dies"
"254","Male","Dies"
"255","Male","Dies"
"256","Male","Dies"
"257","Male","Dies"
"258","Male","Dies"
"259","Male","Dies"
"260","Male","Dies"
"261","Male","Dies"
"262","Male","Dies"
"263","Male","Dies"
"264","Male","Dies"
"265","Male","Dies"
"266","Male","Dies"
"267","Male","Dies"
"268","Male","Dies"
"269","Male","Dies"
"270","Male","Dies"
"271","Male","Dies"
"272","Male","Dies"
"273","Male","Dies"
"274","Male","Dies"
"275","Male","Dies"
"276","Male","Dies"
"277","Male","Dies"
"278","Male","Dies"
"279","Male","Dies"
"280","Male","Dies"
"281","Male","Dies"
"282","Male","Dies"
"283","Male","Dies"
"284","Male","Dies"
"285","Male","Dies"
"286","Male","Dies"
"287","Male","Dies"
"288","Male","Dies"
"289","Male","Dies"
"290","Male","Dies"
"291","Male","Dies"
"292","Male","Dies"
"293","Male","Dies"
"294","Male","Dies"
"295","Male","Dies"
"296","Male","Dies"
"297","Male","Survives"
"298","Male","Survives"
"299","Male","Survives"
"300","Male","Survives"
"301","Male","Survives"
"302","Male","Survives"
"303","Male","Survives"
"304","Male","Survives"
"305","Male","Survives"
"306","Male","Survives"
"307","Male","Survives"
"308","Male","Survives"
"309","Male","Survives"
"310","Male","Survives"
"311","Male","Survives"
"312","Male","Survives"
"313","Male","Survives"
"314","Male","Survives"
"315","Male","Survives"
"316","Male","Survives"
"317","Male","Survives"
"318","Male","Survives"
"319","Male","Survives"
"320","Male","Survives"
"321","Male","Survives"
"322","Male","Survives"
"323","Male","Survives"
"324","Male","Survives"
"325","Male","Dies"
"326","Male","Dies"
"327","Male","Dies"
"328","Male","Dies"
"329","Male","Dies"
"330","Male","Dies"
"331","Male","Dies"
"332","Male","Dies"
"333","Male","Dies"
"334","Male","Dies"
"335","Male","Dies"
"336","Male","Dies"
"337","Male","Dies"
"338","Male","Dies"
"339","Male","Dies"
"340","Male","Dies"
"341","Male","Dies"
"342","Male","Dies"
"343","Male","Dies"
"344","Male","Dies"
"345","Male","Dies"
"346","Male","Dies"
"347","Male","Dies"
"348","Male","Dies"
"349","Male","Dies"
"350","Male","Dies"
"351","Male","Dies"
"352","Male","Dies"
"353","Male","Dies"
"354","Male","Dies"
"355","Male","Dies"
"356","Male","Dies"
"357","Male","Dies"
"358","Male","Dies"
"359","Male","Dies"
"360","Male","Dies"
"361","Male","Dies"
"362","Male","Dies"
"363","Male","Dies"
"364","Male","Dies"
"365","Male","Dies"
"366","Male","Dies"
"367","Male","Dies"
"368","Male","Dies"
"369","Male","Dies"
"370","Male","Dies"
"371","Male","Dies"
"372","Male","Dies"
"373","Male","Dies"
"374","Male","Dies"
"375","Male","Dies"
"376","Male","Dies"
"377","Male","Dies"
"378","Male","Dies"
"379","Male","Dies"
"380","Male","Dies"
"381","Male","Dies"
"382","Male","Dies"
"383","Male","Dies"
"384","Male","Dies"
"385","Male","Dies"
"386","Male","Dies"
"387","Male","Dies"
"388","Male","Dies"
"389","Male","Dies"
"390","Male","Dies"
"391","Male","Dies"
"392","Male","Dies"
"393","Male","Dies"
"394","Male","Dies"
"395","Male","Dies"
"396","Male","Dies"
"397","Male","Dies"
"398","Male","Dies"
"399","Male","Dies"
"400","Male","Dies"
"401","Male","Dies"
"402","Male","Dies"
"403","Male","Dies"
"404","Male","Dies"
"405","Male","Dies"
"406","Male","Dies"
"407","Male","Dies"
"408","Male","Dies"
"409","Male","Dies"
"410","Male","Dies"
"411","Male","Dies"
"412","Male","Dies"
"413","Male","Dies"
"414","Male","Dies"
"415","Male","Dies"
"416","Male","Dies"
"417","Male","Dies"
"418","Male","Dies"
"419","Male","Dies"
"420","Male","Dies"
"421","Male","Dies"
"422","Male","Dies"
"423","Male","Dies"
"424","Male","Dies"
"425","Male","Dies"
"426","Male","Dies"
"427","Male","Dies"
"428","Male","Dies"
"429","Male","Dies"
"430","Male","Dies"
"431","Male","Dies"
"432","Male","Dies"
"433","Male","Dies"
"434","Male","Dies"
"435","Male","Dies"
"436","Male","Dies"
"437","Male","Dies"
"438","Male","Dies"
"439","Male","Dies"
"440","Male","Dies"
"441","Male","Dies"
"442","Male","Dies"
"443","Male","Dies"
"444","Male","Dies"
"445","Male","Dies"
"446","Male","Dies"
"447","Male","Dies"
"448","Male","Dies"
"449","Male","Dies"
"450","Male","Dies"
"451","Male","Dies"
"452","Male","Dies"
"453","Male","Dies"
"454","Male","Dies"
"455","Male","Dies"
"456","Male","Dies"
"457","Male","Dies"
"458","Male","Dies"
"459","Male","Dies"
"460","Male","Dies"
"461","Male","Dies"
"462","Male","Dies"
"463","Male","Dies"
"464","Male","Dies"
"465","Male","Dies"
"466","Male","Dies"
"467","Male","Dies"
"468","Male","Dies"
"469","Male","Dies"
"470","Male","Dies"
"471","Male","Dies"
"472","Male","Dies"
"473","Male","Dies"
"474","Male","Dies"
"475","Male","Dies"
"476","Male","Dies"
"477","Male","Dies"
"478","Male","Dies"
"479","Male","Dies"
"480","Male","Dies"
"481","Male","Dies"
"482","Male","Dies"
"483","Male","Dies"
"484","Male","Dies"
"485","Male","Dies"
